Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
AMMONIA;SA-BN;SA-PA;3;7;;;
AMMONIA;SA-BN;SA-PA;3;8;;;
AMMONIA;SA-BN;SA-PA;3;9;;;
AMMONIA;SA-BN;SA-PA;3;10;;;
AMMONIA;SA-BN;SA-PA;3;11;;;
AMMONIA;SA-BN;SA-PA;3;12;;;
AMMONIA;SA-BN;SA-PA;3;13;;;
AMMONIA;SA-BN;SA-PA;3;14;;;
AMMONIA;SA-BN;SA-PA;3;15;;;
AMMONIA;SA-BN;SA-PA;3;16;;;
AMMONIA;SA-BN;SA-PA;3;17;;;
AMMONIA;SA-BN;SA-PA;3;18;;;
AMMONIA;SA-BN;SA-PA;3;19;;;
AMMONIA;SA-BN;SA-PA;3;20;;;
AMMONIA;SA-BN;SA-PA;3;21;;;
AMMONIA;SA-BN;SA-PA;3;22;;;
AMMONIA;SA-BN;SA-PA;3;23;;;
AMMONIA;SA-BN;SA-PA;3;24;;;
AMMONIA;SA-BN;SA-PA;4;1;;;
AMMONIA;SA-BN;SA-PA;4;2;;;
AMMONIA;SA-BN;SA-PA;4;3;;;
AMMONIA;SA-BN;SA-PA;4;4;;;
AMMONIA;SA-BN;SA-PA;4;5;;;
AMMONIA;SA-BN;SA-PA;4;6;;;
AMMONIA;SA-BN;SA-PA;4;7;;;
AMMONIA;SA-BN;SA-PA;4;8;;;
AMMONIA;SA-BN;SA-PA;4;9;;;
AMMONIA;SA-BN;SA-PA;4;10;;;
AMMONIA;SA-BN;SA-PA;4;11;;;
AMMONIA;SA-BN;SA-PA;4;12;;;
AMMONIA;SA-BN;SA-PA;4;13;;;
AMMONIA;SA-BN;SA-PA;4;14;;;
AMMONIA;SA-BN;SA-PA;4;15;;;
AMMONIA;SA-BN;SA-PA;4;16;;;
AMMONIA;SA-BN;SA-PA;4;17;;;
AMMONIA;SA-BN;SA-PA;4;18;;;
AMMONIA;SA-BN;SA-PA;4;19;;;
AMMONIA;SA-BN;SA-PA;4;20;;;
AMMONIA;SA-BN;SA-PA;4;21;;;
AMMONIA;SA-BN;SA-PA;4;22;;;
AMMONIA;SA-BN;SA-PA;4;23;;;
AMMONIA;SA-BN;SA-PA;4;24;;;
AMMONIA;SA-BN;SA-PA;5;1;;;
AMMONIA;SA-BN;SA-PA;5;2;;;
AMMONIA;SA-BN;SA-PA;5;3;;;
AMMONIA;SA-BN;SA-PA;5;4;;;
AMMONIA;SA-BN;SA-PA;5;5;;;
AMMONIA;SA-BN;SA-PA;5;6;;;
AMMONIA;SA-BN;SA-PA;5;7;;;
AMMONIA;SA-BN;SA-PA;5;8;;;
AMMONIA;SA-BN;SA-PA;5;9;;;
AMMONIA;SA-BN;SA-PA;5;10;;;
AMMONIA;SA-BN;SA-PA;5;11;;;
AMMONIA;SA-BN;SA-PA;5;12;;;
AMMONIA;SA-BN;SA-PA;5;13;;;
AMMONIA;SA-BN;SA-PA;5;14;;;
AMMONIA;SA-BN;SA-PA;5;15;;;
AMMONIA;SA-BN;SA-PA;5;16;;;
AMMONIA;SA-BN;SA-PA;5;17;;;
AMMONIA;SA-BN;SA-PA;5;18;;;
AMMONIA;SA-BN;SA-PA;5;19;;;
AMMONIA;SA-BN;SA-PA;5;20;;;
AMMONIA;SA-BN;SA-PA;5;21;;;
AMMONIA;SA-BN;SA-PA;5;22;;;
AMMONIA;SA-BN;SA-PA;5;23;;;
AMMONIA;SA-BN;SA-PA;5;24;;;
AMMONIA;SA-BN;SA-PA;6;1;;;
AMMONIA;SA-BN;SA-PA;6;2;;;
AMMONIA;SA-BN;SA-PA;6;3;;;
AMMONIA;SA-BN;SA-PA;6;4;;;
AMMONIA;SA-BN;SA-PA;6;5;;;
AMMONIA;SA-BN;SA-PA;6;6;;;
AMMONIA;SA-BN;SA-PA;6;7;;;
AMMONIA;SA-BN;SA-PA;6;8;;;
AMMONIA;SA-BN;SA-PA;6;9;;;
AMMONIA;SA-BN;SA-PA;6;10;;;
AMMONIA;SA-BN;SA-PA;6;11;;;
AMMONIA;SA-BN;SA-PA;6;12;;;
AMMONIA;SA-BN;SA-PA;6;13;;;
AMMONIA;SA-BN;SA-PA;6;14;;;
AMMONIA;SA-BN;SA-PA;6;15;;;
AMMONIA;SA-BN;SA-PA;6;16;;;
AMMONIA;SA-BN;SA-PA;6;17;;;
AMMONIA;SA-BN;SA-PA;6;18;;;
AMMONIA;SA-BN;SA-PA;6;19;;;
AMMONIA;SA-BN;SA-PA;6;20;;;
AMMONIA;SA-BN;SA-PA;6;21;;;
AMMONIA;SA-BN;SA-PA;6;22;;;
AMMONIA;SA-BN;SA-PA;6;23;;;
AMMONIA;SA-BN;SA-PA;6;24;;;
AMMONIA;SA-BN;SA-PA;7;1;;;
AMMONIA;SA-BN;SA-PA;7;2;;;
AMMONIA;SA-BN;SA-PA;7;3;;;
