Regions;Resources;Typical_days;Hours;R_t_exterior
SA-BN;AMMONIA_RE;7;5;0.0
SA-BN;AMMONIA_RE;7;6;0.0
SA-BN;AMMONIA_RE;7;7;0.0
SA-BN;AMMONIA_RE;7;8;0.0
SA-BN;AMMONIA_RE;7;9;0.0
SA-BN;AMMONIA_RE;7;10;0.0
SA-BN;AMMONIA_RE;7;11;0.0
SA-BN;AMMONIA_RE;7;12;0.0
SA-BN;AMMONIA_RE;7;13;0.0
SA-BN;AMMONIA_RE;7;14;0.0
SA-BN;AMMONIA_RE;7;15;0.0
SA-BN;AMMONIA_RE;7;16;0.0
SA-BN;AMMONIA_RE;7;17;0.0
SA-BN;AMMONIA_RE;7;18;0.0
SA-BN;AMMONIA_RE;7;19;0.0
SA-BN;AMMONIA_RE;7;20;0.0
SA-BN;AMMONIA_RE;7;21;0.0
SA-BN;AMMONIA_RE;7;22;0.0
SA-BN;AMMONIA_RE;7;23;0.0
SA-BN;AMMONIA_RE;7;24;0.0
SA-BN;AMMONIA_RE;8;1;0.0
SA-BN;AMMONIA_RE;8;2;0.0
SA-BN;AMMONIA_RE;8;3;0.0
SA-BN;AMMONIA_RE;8;4;0.0
SA-BN;AMMONIA_RE;8;5;0.0
SA-BN;AMMONIA_RE;8;6;0.0
SA-BN;AMMONIA_RE;8;7;0.0
SA-BN;AMMONIA_RE;8;8;0.0
SA-BN;AMMONIA_RE;8;9;0.0
SA-BN;AMMONIA_RE;8;10;0.0
SA-BN;AMMONIA_RE;8;11;0.0
SA-BN;AMMONIA_RE;8;12;0.0
SA-BN;AMMONIA_RE;8;13;0.0
SA-BN;AMMONIA_RE;8;14;0.0
SA-BN;AMMONIA_RE;8;15;0.0
SA-BN;AMMONIA_RE;8;16;0.0
SA-BN;AMMONIA_RE;8;17;0.0
SA-BN;AMMONIA_RE;8;18;0.0
SA-BN;AMMONIA_RE;8;19;0.0
SA-BN;AMMONIA_RE;8;20;0.0
SA-BN;AMMONIA_RE;8;21;0.0
SA-BN;AMMONIA_RE;8;22;0.0
SA-BN;AMMONIA_RE;8;23;0.0
SA-BN;AMMONIA_RE;8;24;0.0
SA-BN;AMMONIA_RE;9;1;0.0
SA-BN;AMMONIA_RE;9;2;0.0
SA-BN;AMMONIA_RE;9;3;0.0
SA-BN;AMMONIA_RE;9;4;0.0
SA-BN;AMMONIA_RE;9;5;0.0
SA-BN;AMMONIA_RE;9;6;0.0
SA-BN;AMMONIA_RE;9;7;0.0
SA-BN;AMMONIA_RE;9;8;0.0
SA-BN;AMMONIA_RE;9;9;0.0
SA-BN;AMMONIA_RE;9;10;0.0
SA-BN;AMMONIA_RE;9;11;0.0
SA-BN;AMMONIA_RE;9;12;0.0
SA-BN;AMMONIA_RE;9;13;0.0
SA-BN;AMMONIA_RE;9;14;0.0
SA-BN;AMMONIA_RE;9;15;0.0
SA-BN;AMMONIA_RE;9;16;0.0
SA-BN;AMMONIA_RE;9;17;0.0
SA-BN;AMMONIA_RE;9;18;0.0
SA-BN;AMMONIA_RE;9;19;0.0
SA-BN;AMMONIA_RE;9;20;0.0
SA-BN;AMMONIA_RE;9;21;0.0
SA-BN;AMMONIA_RE;9;22;0.0
SA-BN;AMMONIA_RE;9;23;0.0
SA-BN;AMMONIA_RE;9;24;0.0
SA-BN;AMMONIA_RE;10;1;0.0
SA-BN;AMMONIA_RE;10;2;0.0
SA-BN;AMMONIA_RE;10;3;0.0
SA-BN;AMMONIA_RE;10;4;0.0
SA-BN;AMMONIA_RE;10;5;0.0
SA-BN;AMMONIA_RE;10;6;0.0
SA-BN;AMMONIA_RE;10;7;0.0
SA-BN;AMMONIA_RE;10;8;0.0
SA-BN;AMMONIA_RE;10;9;0.0
SA-BN;AMMONIA_RE;10;10;0.0
SA-BN;AMMONIA_RE;10;11;0.0
SA-BN;AMMONIA_RE;10;12;0.0
SA-BN;AMMONIA_RE;10;13;0.0
SA-BN;AMMONIA_RE;10;14;0.0
SA-BN;AMMONIA_RE;10;15;0.0
SA-BN;AMMONIA_RE;10;16;0.0
SA-BN;AMMONIA_RE;10;17;0.0
SA-BN;AMMONIA_RE;10;18;0.0
SA-BN;AMMONIA_RE;10;19;0.0
SA-BN;AMMONIA_RE;10;20;0.0
SA-BN;AMMONIA_RE;10;21;0.0
SA-BN;AMMONIA_RE;10;22;0.0
SA-BN;AMMONIA_RE;10;23;0.0
SA-BN;AMMONIA_RE;10;24;0.0
SA-BN;AMMONIA_RE;11;1;0.0
