Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
DIESEL;C1;C2;3;22;;;
DIESEL;C1;C2;3;23;;;
DIESEL;C1;C2;3;24;;;
DIESEL;C1;C2;4;1;;;
DIESEL;C1;C2;4;2;;;
DIESEL;C1;C2;4;3;;;
DIESEL;C1;C2;4;4;;;
DIESEL;C1;C2;4;5;;;
DIESEL;C1;C2;4;6;;;
DIESEL;C1;C2;4;7;;;
DIESEL;C1;C2;4;8;;;
DIESEL;C1;C2;4;9;;;
DIESEL;C1;C2;4;10;;;
DIESEL;C1;C2;4;11;;;
DIESEL;C1;C2;4;12;;;
DIESEL;C1;C2;4;13;;;
DIESEL;C1;C2;4;14;;;
DIESEL;C1;C2;4;15;;;
DIESEL;C1;C2;4;16;;;
DIESEL;C1;C2;4;17;;;
DIESEL;C1;C2;4;18;;;
DIESEL;C1;C2;4;19;;;
DIESEL;C1;C2;4;20;;;
DIESEL;C1;C2;4;21;;;
DIESEL;C1;C2;4;22;;;
DIESEL;C1;C2;4;23;;;
DIESEL;C1;C2;4;24;;;
DIESEL;C1;C2;5;1;;;
DIESEL;C1;C2;5;2;;;
DIESEL;C1;C2;5;3;;;
DIESEL;C1;C2;5;4;;;
DIESEL;C1;C2;5;5;;;
DIESEL;C1;C2;5;6;;;
DIESEL;C1;C2;5;7;;;
DIESEL;C1;C2;5;8;;;
DIESEL;C1;C2;5;9;;;
DIESEL;C1;C2;5;10;;;
DIESEL;C1;C2;5;11;;;
DIESEL;C1;C2;5;12;;;
DIESEL;C1;C2;5;13;;;
DIESEL;C1;C2;5;14;;;
DIESEL;C1;C2;5;15;;;
DIESEL;C1;C2;5;16;;;
DIESEL;C1;C2;5;17;;;
DIESEL;C1;C2;5;18;;;
DIESEL;C1;C2;5;19;;;
DIESEL;C1;C2;5;20;;;
DIESEL;C1;C2;5;21;;;
DIESEL;C1;C2;5;22;;;
DIESEL;C1;C2;5;23;;;
DIESEL;C1;C2;5;24;;;
DIESEL;C1;C2;6;1;;;
DIESEL;C1;C2;6;2;;;
DIESEL;C1;C2;6;3;;;
DIESEL;C1;C2;6;4;;;
DIESEL;C1;C2;6;5;;;
DIESEL;C1;C2;6;6;;;
DIESEL;C1;C2;6;7;;;
DIESEL;C1;C2;6;8;;;
DIESEL;C1;C2;6;9;;;
DIESEL;C1;C2;6;10;;;
DIESEL;C1;C2;6;11;;;
DIESEL;C1;C2;6;12;;;
DIESEL;C1;C2;6;13;;;
DIESEL;C1;C2;6;14;;;
DIESEL;C1;C2;6;15;;;
DIESEL;C1;C2;6;16;;;
DIESEL;C1;C2;6;17;;;
DIESEL;C1;C2;6;18;;;
DIESEL;C1;C2;6;19;;;
DIESEL;C1;C2;6;20;;;
DIESEL;C1;C2;6;21;;;
DIESEL;C1;C2;6;22;;;
DIESEL;C1;C2;6;23;;;
DIESEL;C1;C2;6;24;;;
DIESEL;C1;C2;7;1;;;
DIESEL;C1;C2;7;2;;;
DIESEL;C1;C2;7;3;;;
DIESEL;C1;C2;7;4;;;
DIESEL;C1;C2;7;5;;;
DIESEL;C1;C2;7;6;;;
DIESEL;C1;C2;7;7;;;
DIESEL;C1;C2;7;8;;;
DIESEL;C1;C2;7;9;;;
DIESEL;C1;C2;7;10;;;
DIESEL;C1;C2;7;11;;;
DIESEL;C1;C2;7;12;;;
DIESEL;C1;C2;7;13;;;
DIESEL;C1;C2;7;14;;;
DIESEL;C1;C2;7;15;;;
DIESEL;C1;C2;7;16;;;
DIESEL;C1;C2;7;17;;;
DIESEL;C1;C2;7;18;;;
DIESEL;C1;C2;7;19;;;
DIESEL;C1;C2;7;20;;;
DIESEL;C1;C2;7;21;;;
DIESEL;C1;C2;7;22;;;
DIESEL;C1;C2;7;23;;;
DIESEL;C1;C2;7;24;;;
DIESEL;C1;C2;8;1;;;
DIESEL;C1;C2;8;2;;;
DIESEL;C1;C2;8;3;;;
DIESEL;C1;C2;8;4;;;
DIESEL;C1;C2;8;5;;;
DIESEL;C1;C2;8;6;;;
DIESEL;C1;C2;8;7;;;
DIESEL;C1;C2;8;8;;;
DIESEL;C1;C2;8;9;;;
DIESEL;C1;C2;8;10;;;
DIESEL;C1;C2;8;11;;;
DIESEL;C1;C2;8;12;;;
DIESEL;C1;C2;8;13;;;
DIESEL;C1;C2;8;14;;;
DIESEL;C1;C2;8;15;;;
DIESEL;C1;C2;8;16;;;
DIESEL;C1;C2;8;17;;;
DIESEL;C1;C2;8;18;;;
DIESEL;C1;C2;8;19;;;
DIESEL;C1;C2;8;20;;;
DIESEL;C1;C2;8;21;;;
DIESEL;C1;C2;8;22;;;
DIESEL;C1;C2;8;23;;;
