Regions;Elements;C_inv;C_maint;C_op
C2;DEC_THHP_GAS_COLD;;;
C2;IND_ELEC_COLD;;;
C2;TRAMWAY_TROLLEY;;;
C2;BUS_COACH_DIESEL;;;
C2;BUS_COACH_HYDIESEL;;;
C2;BUS_COACH_CNG_STOICH;;;
C2;BUS_COACH_FC_HYBRIDH2;;;
C2;TRAIN_PUB;;;
C2;PLANE_SHORT_HAUL;;;
C2;PLANE_H2_SHORT_HAUL;;;
C2;PLANE_LONG_HAUL;;;
C2;CAR_GASOLINE;;;
C2;CAR_DIESEL;;;
C2;CAR_NG;;;
C2;CAR_METHANOL;;;
C2;CAR_HEV;;;
C2;CAR_PHEV;;;
C2;CAR_BEV;;;
C2;CAR_FUEL_CELL;;;
C2;TRAIN_FREIGHT;;;
C2;BOAT_FREIGHT_DIESEL;;;
C2;BOAT_FREIGHT_NG;;;
C2;BOAT_FREIGHT_METHANOL;;;
C2;CARGO_LFO;;;
C2;CARGO_LNG;;;
C2;CARGO_METHANOL;;;
C2;CARGO_AMMONIA;;;
C2;CARGO_FUELCELL_LH2;;;
C2;CARGO_FUELCELL_AMMONIA;;;
C2;CARGO_RETRO_METHANOL;;;
C2;CARGO_RETRO_AMMONIA;;;
C2;TRUCK_DIESEL;;;
C2;TRUCK_METHANOL;;;
C2;TRUCK_FUEL_CELL;;;
C2;TRUCK_ELEC;;;
C2;TRUCK_NG;;;
C2;EFFICIENCY;;;
C2;DHN;;;
C2;GRID;;;
C2;HVAC_LINE;0.0005822315493872307;0.0001138734370271175;
C2;HVDC_SUBSEA;;;
C2;GAS_PIPELINE;;;
C2;GAS_SUBSEA;;;
C2;H2_RETROFITTED;;;
C2;H2_NEW;;;
C2;H2_SUBSEA_RETRO;;;
C2;H2_SUBSEA_NEW;;;
C2;H2_ELECTROLYSIS;;;
C2;H2_NG;;;
C2;H2_BIOMASS;;;
C2;BIOMASS_TO_METHANE;;;
C2;BIOWASTE_TO_METHANE;;;
C2;SYN_METHANATION;;;
C2;BIOMETHANATION_WET_BIOMASS;;;
C2;BIOMETHANATION_BIOWASTE;;;
C2;BIOMASS_TO_JET_FUEL;;;
C2;BIOMASS_TO_LFO;;;
C2;BIOWASTE_TO_JET_FUEL;;;
C2;BIOWASTE_TO_LFO;;;
C2;DIESEL_TO_JET_FUEL;;;
C2;ATM_CCS;;;
C2;INDUSTRY_CCS;;;
C2;SYN_METHANOLATION;;;
C2;METHANE_TO_METHANOL;;;
C2;BIOMASS_TO_METHANOL;;;
C2;BIOWASTE_TO_METHANOL;;;
C2;HABER_BOSCH;;;
C2;POWER_TO_JET_FUEL;;;
C2;POWER_TO_LFO;;;
C2;H2_TO_JET_FUEL;;;
C2;H2_TO_LFO;;;
C2;AMMONIA_TO_H2;;;
C2;OIL_TO_HVC;;;
C2;GAS_TO_HVC;;;
C2;BIOMASS_TO_HVC;;;
C2;METHANOL_TO_HVC;;;
C2;BATT_LI;0.008046068010791848;9.461400722450043e-05;
C2;BATT_HS;4.218214371906565e-05;2.036348506303499e-05;
C2;CAES;;;
C2;BEV_BATT;;;
C2;PHEV_BATT;;;
C2;DAM_STORAGE;;;
C2;PHS;;;
C2;TS_DEC_DIRECT_ELEC;0.0023834702370167126;0.0001480279533724059;
C2;TS_DEC_HP_ELEC;;;
C2;TS_DEC_THHP_GAS;;;
C2;TS_DEC_COGEN_GAS;;;
C2;TS_DEC_COGEN_OIL;;;
C2;TS_DEC_ADVCOGEN_GAS;;;
C2;TS_DEC_ADVCOGEN_H2;;;
C2;TS_DEC_BOILER_GAS;0.00012980656056062653;8.06177446467777e-06;
C2;TS_DEC_BOILER_WOOD;;;
C2;TS_DEC_BOILER_OIL;;;
C2;TS_DHN_DAILY;;;
C2;TS_DHN_SEASONAL;;;
C2;TS_HIGH_TEMP;;;
C2;GAS_STORAGE;;;
C2;H2_STORAGE;;;
C2;DIESEL_STORAGE;5.081681776174891e-06;0.0001540251878222042;
C2;JET_FUEL_STORAGE;0.0004376732249593502;0.0001535250150854686;
C2;GASOLINE_STORAGE;3.7456272280130756e-05;0.0001536499447252003;
C2;LFO_STORAGE;;;
C2;AMMONIA_STORAGE;;;
C2;METHANOL_STORAGE;;;
C2;PT_STORAGE;;;
C2;ST_STORAGE;;;
C2;TS_COLD;;;
C2;CO2_STORAGE;;;
C2;STOVE_WOOD;5.216587744561133e-06;0.0003613517310027832;
C2;STOVE_LPG;1.5675525523006286e-06;0.001646881167916691;
C2;STOVE_NG;9.973739288090763e-06;1.093346265291452e-05;
C2;STOVE_OIL;1.1292959201938892e-05;1.12919113349561e-05;
C2;STOVE_ELEC;0.00041964235970179875;6.446301580187539e-05;
C2;PLANE;;;
C2;FERMENTATION_TO_BIOETHANOL;;;
C2;ESTERIFICATION_TO_BIODIESEL;;;
C2;IND_BOILER_DIESEL;;1.329272543604238e-05;
C2;IND_BOILER_LPG;;;
C2;LPG_STORAGE;0.0004618845179162682;0.0001587029024031441;
C2;LNG_STORAGE;0.0004539009053582374;0.0001534132769248712;
C2;CAR_FG_PRIVATE;;;
C2;BUS_FG_PRIVATE;;;
C2;PICKUP_TRUCK_FG_PRIVATE;;;
C2;SUV_FG_PRIVATE;;;
C2;MOTORCYCLE_FG_PRIVATE;;;
C2;CAR_FG_PUBLIC;;;
C2;BUS_FG_PUBLIC;;;
C2;PICKUP_TRUCK_FG_PUBLIC;;;
C2;SUV_FG_PUBLIC;;;
C2;MOTORCYCLE_FG_PUBLIC;;;
C2;CAR_GASOLINE_PRIVATE;;;
C2;BUS_GASOLINE_PRIVATE;;;
C2;PICKUP_TRUCK_GASOLINE_PRIVATE;;;
C2;SUV_GASOLINE_PRIVATE;;;
C2;MOTORCYCLE_GASOLINE_PRIVATE;;;
C2;CAR_GASOLINE_PUBLIC;;;
C2;BUS_GASOLINE_PUBLIC;;;
C2;PICKUP_TRUCK_GASOLINE_PUBLIC;;;
C2;SUV_GASOLINE_PUBLIC;;;
C2;MOTORCYCLE_GASOLINE_PUBLIC;;;
C2;CAR_DIESEL_PRIVATE;;;
C2;BUS_DIESEL_PRIVATE;;;
C2;PICKUP_TRUCK_DIESEL_PRIVATE;;;
C2;SUV_DIESEL_PRIVATE;;;
C2;MOTORCYCLE_DIESEL_PRIVATE;;;
C2;CAR_DIESEL_PUBLIC;;;
C2;BUS_DIESEL_PUBLIC;;;
C2;PICKUP_TRUCK_DIESEL_PUBLIC;;;
C2;SUV_DIESEL_PUBLIC;;;
C2;MOTORCYCLE_DIESEL_PUBLIC;;;
C2;TRUCK_FG;;;
C2;VAN_FG;;;
C2;CARGO_MOTORCYCLE_FG;;;
C2;TRUCK_GASOLINE;;;
C2;VAN_GASOLINE;;;
C2;CARGO_MOTORCYCLE_GASOLINE;;;
C2;TRUCK_DIESEL_P;;;
C2;VAN_DIESEL;;;
C2;CARGO_MOTORCYCLE_DIESEL;;;
C2;CONVENTIONAL_BULB;3.126466279360285e-05;;
C2;LED_BULB;3.211499490456621e-05;;
C2;CONVENTIONAL_LIGHT;0.00013306265104072205;0.0004920546014865862;
C2;LED_LIGHT;2.1876474002543286e-05;2.651918823717487e-05;
C2;REFRIGERATOR_EL;;;
C2;COMM_MACHINERY_DIESEL;2.575194571992894e-05;3.507245735365537e-06;
