Regions;Storage_tech;Typical_days;Hours;Storage_out;Storage_in;Storage_power
C1;AMMONIA_STORAGE;16;12;;;0.0
C1;AMMONIA_STORAGE;16;13;;;0.0
C1;AMMONIA_STORAGE;16;14;;;0.0
C1;AMMONIA_STORAGE;16;15;;;0.0
C1;AMMONIA_STORAGE;16;16;;;0.0
C1;AMMONIA_STORAGE;16;17;;;0.0
C1;AMMONIA_STORAGE;16;18;;;0.0
C1;AMMONIA_STORAGE;16;19;;;0.0
C1;AMMONIA_STORAGE;16;20;;;0.0
C1;AMMONIA_STORAGE;16;21;;;0.0
C1;AMMONIA_STORAGE;16;22;;;0.0
C1;AMMONIA_STORAGE;16;23;;;0.0
C1;AMMONIA_STORAGE;16;24;;;0.0
C1;BATT_HS;1;1;;;0.0
C1;BATT_HS;1;2;;;0.0
C1;BATT_HS;1;3;;;0.0
C1;BATT_HS;1;4;;;0.0
C1;BATT_HS;1;5;;;0.0
C1;BATT_HS;1;6;;;0.0
C1;BATT_HS;1;7;;;0.0
C1;BATT_HS;1;8;;;0.0
C1;BATT_HS;1;9;;;0.0
C1;BATT_HS;1;10;;;0.0
C1;BATT_HS;1;11;;;0.0
C1;BATT_HS;1;12;;;0.0
C1;BATT_HS;1;13;;;0.0
C1;BATT_HS;1;14;;;0.0
C1;BATT_HS;1;15;;;0.0
C1;BATT_HS;1;16;;;0.0
C1;BATT_HS;1;17;;;0.0
C1;BATT_HS;1;18;;;0.0
C1;BATT_HS;1;19;;;0.0
C1;BATT_HS;1;20;;;0.0
C1;BATT_HS;1;21;;;0.0
C1;BATT_HS;1;22;;;0.0
C1;BATT_HS;1;23;;;0.0
C1;BATT_HS;1;24;;;0.0
C1;BATT_HS;2;1;;;0.0
C1;BATT_HS;2;2;;;0.0
C1;BATT_HS;2;3;;;0.0
C1;BATT_HS;2;4;;;0.0
C1;BATT_HS;2;5;;;0.0
C1;BATT_HS;2;6;;;0.0
C1;BATT_HS;2;7;;;0.0
