Regions;Elements;C_inv;C_maint;C_op
SA-PA;PYROLYSIS_TO_LFO;;;
SA-PA;FB_ST_BIOMASS;;;
SA-PA;CFB_ST_BIOMASS;;;
SA-PA;BFB_ST_BIOMASS;;;
SA-PA;REGASIFICATION;0.11341692671848966;0.04699906083482892;
SA-PA;LIQUEFACTION;;;
SA-PA;DIESEL_PIPELINE;;;
SA-PA;GASOLINE_PIPELINE;;;
SA-PA;LPG_PIPELINE;;;
SA-PA;LFO_PIPELINE;;;
SA-PA;JET_FUEL_PIPELINE;;;
SA-PA;SUV_ELEC_PRIVATE_BATT;;;
SA-PA;MOTORCYCLE_ELEC_PRIVATE_BATT;;;
SA-PA;BUS_ELEC_PUBLIC_BATT;;;
SA-PA;ELECTRICITY;;;
SA-PA;GASOLINE;;;
SA-PA;DIESEL;;;12.95803064541308
SA-PA;GASOLINE_RE;;;
SA-PA;DIESEL_RE;;;
SA-PA;LFO;;;
SA-PA;LFO_RE;;;
SA-PA;JET_FUEL;;;
SA-PA;JET_FUEL_RE;;;
SA-PA;GAS;;;0.01002948374229339
SA-PA;GAS_RE;;;
SA-PA;WOOD;;;0.6622589014866062
SA-PA;WET_BIOMASS;;;
SA-PA;ENERGY_CROPS_2;;;
SA-PA;BIOWASTE;;;
SA-PA;BIOMASS_RESIDUES;;;
SA-PA;COAL;;;
SA-PA;URANIUM;;;
SA-PA;WASTE;;;
SA-PA;H2;;;
SA-PA;H2_RE;;;
SA-PA;AMMONIA;;;
SA-PA;METHANOL;;;
SA-PA;AMMONIA_RE;;;
SA-PA;METHANOL_RE;;;
SA-PA;CO2_EMISSIONS;;;
SA-PA;RES_WIND;;;
SA-PA;RES_SOLAR;;;
SA-PA;RES_HYDRO;;;
SA-PA;RES_GEO;;;
SA-PA;CO2_ATM;;;
SA-PA;CO2_INDUSTRY;;;
SA-PA;CO2_CAPTURED;;;
SA-PA;PT_HEAT;;;
SA-PA;ST_HEAT;;;
SA-PA;LPG;;;0.02162185358479288
SA-PA;LNG;;;
SA-PA;CO2_EMISSIONS_CAPTURED;;;
SA-PA;CO2_EMISSIONS_ATM;;;
SA-SC;NUCLEAR;;;
SA-SC;NUCLEAR_SMR;;;
SA-SC;CCGT_AMMONIA;;;
SA-SC;COAL_US;;;
SA-SC;COAL_IGCC;;;
SA-SC;BIOMASS_TO_POWER;;;
SA-SC;PV_ROOFTOP;;;
SA-SC;PV_UTILITY;;;
SA-SC;PV_HS;;;
SA-SC;PT_COLLECTOR;;;
SA-SC;ST_COLLECTOR;;;
SA-SC;PT_POWER_BLOCK;;;
SA-SC;ST_POWER_BLOCK;;;
SA-SC;WIND_ONSHORE;;;
SA-SC;WIND_OFFSHORE;;;
SA-SC;HYDRO_DAM;;;
