Regions;Technologies;Typical_days;Hours;F_t
C1;AGR_MACHINERY_DIESEL;16;15;0.0
C1;AGR_MACHINERY_DIESEL;16;16;0.0
C1;AGR_MACHINERY_DIESEL;16;17;0.0
C1;AGR_MACHINERY_DIESEL;16;18;0.0
C1;AGR_MACHINERY_DIESEL;16;19;0.0
C1;AGR_MACHINERY_DIESEL;16;20;0.0
C1;AGR_MACHINERY_DIESEL;16;21;0.0
C1;AGR_MACHINERY_DIESEL;16;22;0.0
C1;AGR_MACHINERY_DIESEL;16;23;0.0
C1;AGR_MACHINERY_DIESEL;16;24;0.0
C1;AGR_MACHINERY_EL;1;1;0.0
C1;AGR_MACHINERY_EL;1;2;0.0
C1;AGR_MACHINERY_EL;1;3;0.0
C1;AGR_MACHINERY_EL;1;4;0.0
C1;AGR_MACHINERY_EL;1;5;0.0
C1;AGR_MACHINERY_EL;1;6;0.0
C1;AGR_MACHINERY_EL;1;7;0.0
C1;AGR_MACHINERY_EL;1;8;0.0
C1;AGR_MACHINERY_EL;1;9;0.0
C1;AGR_MACHINERY_EL;1;10;0.0
C1;AGR_MACHINERY_EL;1;11;0.0
C1;AGR_MACHINERY_EL;1;12;0.0
C1;AGR_MACHINERY_EL;1;13;0.0
C1;AGR_MACHINERY_EL;1;14;0.0
C1;AGR_MACHINERY_EL;1;15;0.0
C1;AGR_MACHINERY_EL;1;16;0.0
C1;AGR_MACHINERY_EL;1;17;0.0
C1;AGR_MACHINERY_EL;1;18;0.0
C1;AGR_MACHINERY_EL;1;19;0.0
C1;AGR_MACHINERY_EL;1;20;0.0
C1;AGR_MACHINERY_EL;1;21;0.0
C1;AGR_MACHINERY_EL;1;22;0.0
C1;AGR_MACHINERY_EL;1;23;0.0
C1;AGR_MACHINERY_EL;1;24;0.0
C1;AGR_MACHINERY_EL;2;1;0.0
C1;AGR_MACHINERY_EL;2;2;0.0
C1;AGR_MACHINERY_EL;2;3;0.0
C1;AGR_MACHINERY_EL;2;4;0.0
C1;AGR_MACHINERY_EL;2;5;0.0
C1;AGR_MACHINERY_EL;2;6;0.0
C1;AGR_MACHINERY_EL;2;7;0.0
C1;AGR_MACHINERY_EL;2;8;0.0
C1;AGR_MACHINERY_EL;2;9;0.0
C1;AGR_MACHINERY_EL;2;10;0.0
C1;AGR_MACHINERY_EL;2;11;0.0
C1;AGR_MACHINERY_EL;2;12;0.0
C1;AGR_MACHINERY_EL;2;13;0.0
C1;AGR_MACHINERY_EL;2;14;0.0
C1;AGR_MACHINERY_EL;2;15;0.0
C1;AGR_MACHINERY_EL;2;16;0.0
C1;AGR_MACHINERY_EL;2;17;0.0
C1;AGR_MACHINERY_EL;2;18;0.0
C1;AGR_MACHINERY_EL;2;19;0.0
C1;AGR_MACHINERY_EL;2;20;0.0
C1;AGR_MACHINERY_EL;2;21;0.0
C1;AGR_MACHINERY_EL;2;22;0.0
C1;AGR_MACHINERY_EL;2;23;0.0
C1;AGR_MACHINERY_EL;2;24;0.0
C1;AGR_MACHINERY_EL;3;1;0.0
C1;AGR_MACHINERY_EL;3;2;0.0
C1;AGR_MACHINERY_EL;3;3;0.0
C1;AGR_MACHINERY_EL;3;4;0.0
C1;AGR_MACHINERY_EL;3;5;0.0
C1;AGR_MACHINERY_EL;3;6;0.0
C1;AGR_MACHINERY_EL;3;7;0.0
C1;AGR_MACHINERY_EL;3;8;0.0
C1;AGR_MACHINERY_EL;3;9;0.0
C1;AGR_MACHINERY_EL;3;10;0.0
C1;AGR_MACHINERY_EL;3;11;0.0
C1;AGR_MACHINERY_EL;3;12;0.0
C1;AGR_MACHINERY_EL;3;13;0.0
C1;AGR_MACHINERY_EL;3;14;0.0
C1;AGR_MACHINERY_EL;3;15;0.0
C1;AGR_MACHINERY_EL;3;16;0.0
C1;AGR_MACHINERY_EL;3;17;0.0
C1;AGR_MACHINERY_EL;3;18;0.0
C1;AGR_MACHINERY_EL;3;19;0.0
C1;AGR_MACHINERY_EL;3;20;0.0
C1;AGR_MACHINERY_EL;3;21;0.0
C1;AGR_MACHINERY_EL;3;22;0.0
C1;AGR_MACHINERY_EL;3;23;0.0
C1;AGR_MACHINERY_EL;3;24;0.0
C1;AGR_MACHINERY_EL;4;1;0.0
C1;AGR_MACHINERY_EL;4;2;0.0
C1;AGR_MACHINERY_EL;4;3;0.0
C1;AGR_MACHINERY_EL;4;4;0.0
C1;AGR_MACHINERY_EL;4;5;0.0
C1;AGR_MACHINERY_EL;4;6;0.0
C1;AGR_MACHINERY_EL;4;7;0.0
C1;AGR_MACHINERY_EL;4;8;0.0
C1;AGR_MACHINERY_EL;4;9;0.0
C1;AGR_MACHINERY_EL;4;10;0.0
C1;AGR_MACHINERY_EL;4;11;0.0
C1;AGR_MACHINERY_EL;4;12;0.0
C1;AGR_MACHINERY_EL;4;13;0.0
